TIME[S],SPEED,altitude
-8,0,0
-7,0,0
-6,0,0
-5,0,0
-4,0,0
-3,0,0
-2,0,0
-1,0,0
0,0,0
1,0,0
2,1,0
3,5,0
4,18,0
5,35,0
6,52,0
7,70,0
8,87,0
9,105,0
10,124,0
11,143,0
12,162,0
13,181,0
14,201,0
15,219,0
16,238,0
17,257,0
18,276,0
19,295,0
20,313,0
21,332,0
22,351,0
23,371,1
24,390,1
25,409,1
26,430,1
27,450,1
28,470,1
29,491,1
30,511,1
31,532,2
32,553,2
33,575,2
34,597,2
35,619,2
36,641,2
37,663,3
38,686,3
39,708,3
40,730,3
41,752,3
42,773,4
43,794,4
44,814,4
45,834,4
46,853,5
47,872,5
48,891,5
49,910,5
50,929,5
51,947,6
52,966,6
53,983,6
54,999,7
55,1015,7
56,1031,7
57,1046,7
58,1063,8
59,1080,8
60,1098,8
61,1116,9
62,1135,9
63,1155,9
64,1175,9
65,1196,10
66,1217,10
67,1238,10
68,1260,11
69,1282,11
70,1305,11
71,1329,12
72,1354,12
73,1380,13
74,1405,13
75,1431,13
76,1458,14
77,1485,14
78,1512,14
79,1541,15
80,1568,15
81,1599,16
82,1630,16
83,1661,16
84,1694,17
85,1726,17
86,1759,18
87,1794,18
88,1827,19
89,1863,19
90,1898,20
91,1936,20
92,1974,21
93,2013,21
94,2052,21
95,2092,22
96,2133,22
97,2174,23
98,2216,24
99,2260,24
100,2304,25
101,2348,25
102,2392,26
103,2437,26
104,2484,27
105,2530,27
106,2578,28
107,2625,28
108,2674,29
109,2723,30
110,2773,30
111,2823,31
112,2874,31
113,2925,32
114,2976,33
115,3027,33
116,3078,34
117,3130,35
118,3181,35
119,3234,36
120,3286,37
121,3338,37
122,3389,38
123,3441,39
124,3495,39
125,3548,40
126,3602,41
127,3656,41
128,3709,42
129,3763,43
130,3817,44
131,3871,44
132,3925,45
133,3978,46
134,4035,47
135,4090,47
136,4145,48
137,4201,49
138,4257,50
139,4312,50
140,4369,51
141,4423,52
142,4479,53
143,4536,53
144,4590,54
145,4646,55
146,4702,56
147,4759,57
148,4816,57
149,4873,58
150,4932,59
151,4989,60
152,5048,60
153,5107,61
154,5162,62
155,5221,63
156,5267,64
157,5273,64
158,5263,65
159,5249,66
160,5236,67
161,5222,67
162,5198,68
163,5186,69
164,5183,69
165,5176,70
166,5168,71
167,5169,72
168,5175,72
169,5159,73
170,5125,74
171,5065,74
172,4988,75
173,4876,76
174,4744,77
175,4599,77
176,4447,78
177,4294,79
178,4139,79
179,3985,80
180,3831,80
181,3677,81
182,3526,82
183,3372,82
184,3222,83
185,3070,83
186,2923,84
187,2772,84
188,2625,85
189,2476,85
190,2328,86
191,2182,86
192,2042,87
193,1904,87
194,1776,88
195,1657,88
196,1551,88
197,1456,89
198,1375,89
199,1310,90
200,1258,90
201,1225,90
202,1206,91
203,1204,91
204,1215,91
205,1239,91
206,1278,92
207,1328,92
208,1390,92
209,1464,93
210,1547,93
211,1639,93
212,1722,93
213,1745,94
214,1758,94
215,1772,94
216,1787,94
217,1803,94
218,1820,94
219,1838,95
220,1857,95
221,1877,95
222,1898,95
223,1898,95
224,1892,95
225,1885,95
226,1879,95
227,1873,96
228,1869,96
229,1864,96
230,1861,96
231,1858,96
232,1856,96
233,1854,96
234,1853,96
235,1853,96
236,1853,96
237,1853,96
238,1854,96
239,1856,96
240,1858,96
241,1862,96
242,1865,96
243,1870,96
244,1874,96
245,1880,95
246,1886,95
247,1893,95
248,1900,95
249,1908,95
250,1917,95
251,1926,95
252,1935,95
253,1945,94
254,1956,94
255,1967,94
256,1979,94
257,1991,94
258,2004,93
259,2017,93
260,2032,93
261,2047,93
262,2062,92
263,2078,92
264,2094,92
265,2109,92
266,2126,91
267,2143,91
268,2160,91
269,2179,90
270,2197,90
271,2216,90
272,2235,89
273,2254,89
274,2274,89
275,2294,88
276,2314,88
277,2334,88
278,2355,87
279,2376,87
280,2398,86
281,2419,86
282,2441,86
283,2463,85
284,2486,85
285,2509,84
286,2532,84
287,2556,83
288,2578,83
289,2602,82
290,2627,82
291,2651,81
292,2675,81
293,2700,80
294,2725,80
295,2750,79
296,2775,78
297,2801,78
298,2827,77
299,2853,77
300,2879,76
301,2905,75
302,2932,75
303,2957,74
304,2984,73
305,3011,73
306,3038,72
307,3066,71
308,3093,71
309,3120,70
310,3147,69
311,3175,69
312,3203,68
313,3231,67
314,3259,66
315,3287,66
316,3315,65
317,3344,64
318,3372,63
319,3401,63
320,3429,62
321,3458,61
322,3487,60
323,3516,59
324,3545,59
325,3574,58
326,3604,57
327,3633,56
328,3663,55
329,3692,54
330,3722,54
331,3751,53
332,3781,52
333,3810,51
334,3840,50
335,3870,49
336,3900,48
337,3930,47
338,3960,46
339,3990,45
340,4019,44
341,4048,43
342,4077,42
343,4106,41
344,4134,40
345,4162,39
346,4191,38
347,4219,37
348,4246,36
349,4271,35
350,4295,34
351,4318,33
352,4339,32
353,4357,30
354,4372,29
355,4384,28
356,4392,27
357,4395,26
358,4392,25
359,4382,24
360,4364,23
361,4336,22
362,4296,20
363,4243,19
364,4174,18
365,4085,17
366,3977,16
367,3852,15
368,3715,14
369,3563,13
370,3400,12
371,3236,12
372,3069,11
373,2905,10
374,2747,9
375,2596,9
376,2454,8
377,2321,7
378,2200,7
379,2083,6
380,1978,6
381,1882,5
382,1793,5
383,1711,4
384,1633,4
385,1559,3
386,1491,3
387,1430,3
388,1378,2
389,1332,2
390,1292,2
391,1257,1
392,1190,1
393,1064,1
394,897,1
395,708,0
396,525,0
397,343,0
398,238,0
399,220,0
400,207,0
401,189,0
402,171,0
403,156,0
404,140,0
405,124,0
406,106,0
407,90,0
408,74,0
409,60,0
410,46,0
411,32,0
412,18,0
413,11,0
414,9,0
415,3,0
416,3,0
417,1,0
418,0,0
419,1,0
420,0,0
421,0,0
422,0,0
423,0,0
424,0,0
425,0,0
426,0,0
427,0,0
428,0,0
429,0,0
430,0,0
431,0,0
432,0,0
433,0,0
434,0,0
435,0,0
436,0,0
437,0,0
438,0,0
439,0,0
440,0,0
441,0,0
442,0,0
443,0,0
444,0,0
445,0,0
446,0,0
447,0,0
448,0,0
449,0,0
